IDCLIENTE,CLIENTE,USUARIOS,EJECUTIVO,TIPO DE DESCUENTO,%DESCUENTO,DIRECCION,ZONA,TIPO DE CLIENTE,GPS CLIENTE,TELEFONO,CORREO,REGFENTE,REDES SOCIALES,ASISTENTE DE FARMACIAS,ENCARGADO DE FARMACIA,priodidad,MES DE ACTIVACION,UNION,ESTATUS,CODIGO DE BRICK,DESCRIPCION IMS 
LA FE - CLLE GIRARDOT C/CLLE JACINTO LARA,LA FE - CLLE GIRARDOT C/CLLE JACINTO LARA,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,4102,
"OPTIMUS FARMA - AV. SANTA LUCIA, CASA NRO. 18, URB.","OPTIMUS FARMA - AV. SANTA LUCIA, CASA NRO. 18, URB.",vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,4102,
PHARMA GROUP PEREZ - CALLE COMERCIO ENTRE CALLE BOLIVIA Y,PHARMA GROUP PEREZ - CALLE COMERCIO ENTRE CALLE BOLIVIA Y,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,5,,4102,
SAN PEDRO - CLLE COMERCIO E/LIBERTAD Y PUMAROSA,SAN PEDRO - CLLE COMERCIO E/LIBERTAD Y PUMAROSA,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,8,,4102,
SAN PEDRO LA PUERTA - LOCAL 3 AV OLLARVIDES C.C. DOMUS  PB,SAN PEDRO LA PUERTA - LOCAL 3 AV OLLARVIDES C.C. DOMUS  PB,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,4102,
SANTA ANA - AV PUMA ROSA URB SANTA FE,SANTA ANA - AV PUMA ROSA URB SANTA FE,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,10,DATOS DEL CLIENTE INCOMPLETO,4102,
FARMACIA CAFARMA - AV JOSE CAMEJO C/CALLE ACOSTA LOCAL,FARMACIA CAFARMA - AV JOSE CAMEJO C/CALLE ACOSTA LOCAL,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,10,,4125,
FARMACIA FARMA PRIMERO - CALLE ANDRES BELLO ENTRE RIVAS Y LUI,FARMACIA FARMA PRIMERO - CALLE ANDRES BELLO ENTRE RIVAS Y LUI,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,10,,4125,
FARMACIA FARMASI LA PUERTA - AV GENERAL PELAYO LOCAL Nâ–‘17 SECTOR,FARMACIA FARMASI LA PUERTA - AV GENERAL PELAYO LOCAL Nâ–‘17 SECTOR,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,6,,4125,
FARMAVEN - AV ECUADOR C/CLLE MARIâ•¤O,FARMAVEN - AV ECUADOR C/CLLE MARIâ•¤O,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,10,,4125,
FARMACIA EL CRUCE - AV. TIRSO SALAVERRIA ENTRE AV. MANA,FARMACIA EL CRUCE - AV. TIRSO SALAVERRIA ENTRE AV. MANA,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,8,,4126,
"FCIA BIOFARMA CENTRO, C.A. - CALLE AMPIES CON BUCHIVACOA EDIF VEN","FCIA BIOFARMA CENTRO, C.A. - CALLE AMPIES CON BUCHIVACOA EDIF VEN",vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,4126,
FCIA FARMAMEDICA CORO C.A - AV. EL TENIS CASA S/N SECTOR CURAZAI,FCIA FARMAMEDICA CORO C.A - AV. EL TENIS CASA S/N SECTOR CURAZAI,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,9,,4126,
LA GUADALUPE - AV BOLIVAR Nâ–‘ 92,LA GUADALUPE - AV BOLIVAR Nâ–‘ 92,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,4132,
LA VELA - CLLE BOLIVAR Nâ–‘ 47,LA VELA - CLLE BOLIVAR Nâ–‘ 47,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,4132,
FARMACIA TU MISERICORDIA - CALLE HIGUERA CON ARAGUANEY SECTOR G,FARMACIA TU MISERICORDIA - CALLE HIGUERA CON ARAGUANEY SECTOR G,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,10,,4147,
INMACULADA CONCEPCION - CLLE FALCON EDIF COOP,INMACULADA CONCEPCION - CLLE FALCON EDIF COOP,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,10,DATOS DEL CLIENTE INCOMPLETO,4150,
PUEBLO NUEVO - CLLE BOLIVAR 9 PUEBLO NVO PARAGUANA,PUEBLO NUEVO - CLLE BOLIVAR 9 PUEBLO NVO PARAGUANA,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,10,,4150,
FARMACIA BELLA VISTA 5R - CALLE EL PROGRESO LOCAL 3 URB CIRO C,FARMACIA BELLA VISTA 5R - CALLE EL PROGRESO LOCAL 3 URB CIRO C,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,10,,4166,
FARMACIA FARMA SALUD M&J - CALLE BOLIVAR LOCAL S/N CENTRO PUERT,FARMACIA FARMA SALUD M&J - CALLE BOLIVAR LOCAL S/N CENTRO PUERT,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,10,DATOS DEL CLIENTE INCOMPLETO,4167,
FARMACIA GUAMACHO 2 - CALLE ZAVARCE EDIF HOTEL DON BETO PI,FARMACIA GUAMACHO 2 - CALLE ZAVARCE EDIF HOTEL DON BETO PI,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,7,,4167,
MEDICAL FARMA - CARRET NACI MORON-CORO C.C.DIRCA LOC,MEDICAL FARMA - CARRET NACI MORON-CORO C.C.DIRCA LOC,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,4167,
ARENALES -FARMATODO - AV INDEPENDENCIA C/AV PINTO SALINAS,ARENALES -FARMATODO - AV INDEPENDENCIA C/AV PINTO SALINAS,vpinero@distrilabve.com,,,,,,FARMATODO,,,,,,,,,,,,4101,
CARIRUBANA -FARMATODO - AV 6 URB ZARABON COMUNIDAD CARDON,CARIRUBANA -FARMATODO - AV 6 URB ZARABON COMUNIDAD CARDON,vpinero@distrilabve.com,,,,,,FARMATODO,,,,,,,,,,,,4125,
FARMACIA GUAMACHO,FARMACIA GUAMACHO,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
FARMACIA GUAMACHO HOSPITAL,FARMACIA GUAMACHO HOSPITAL,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
FARMACIA DIMAWORLD CENTRO,FARMACIA DIMAWORLD CENTRO,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
FARMACIA SANTA MARIA (FARMA SI),FARMACIA SANTA MARIA (FARMA SI),vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,5,,4101,
FARMACIA MERCADO VIEJO CALDERAS (FARMA SI),FARMACIA MERCADO VIEJO CALDERAS (FARMA SI),vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
FARMACIA DIMAWORLD PF,FARMACIA DIMAWORLD PF,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
FARMACIA FARMAVIT 2024,FARMACIA FARMAVIT 2024,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
SUPER 900 PLUS FARMACIA (CASA FARES SEDE Las Margaritas),SUPER 900 PLUS FARMACIA (CASA FARES SEDE Las Margaritas),vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
PLUS FARMACIA (CASA FARES SEDE CAJA DE AGUA),PLUS FARMACIA (CASA FARES SEDE CAJA DE AGUA),vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
PLUS FARMACIA (EL REY SUPERMARKET-CASA FARES-CORO),PLUS FARMACIA (EL REY SUPERMARKET-CASA FARES-CORO),vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
AUTO FARMA SAN JUAN BOSCO,AUTO FARMA SAN JUAN BOSCO,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
MI FARMA PF II SUCURSAL,MI FARMA PF II SUCURSAL,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
FARMA OFERTAS FW II,FARMA OFERTAS FW II,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
MEGA FARMA AV MANAURE,MEGA FARMA AV MANAURE,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
ARENALES -FARMATODO - AV INDEPENDENCIA C/AV PINTO SALINAS,ARENALES -FARMATODO - AV INDEPENDENCIA C/AV PINTO SALINAS,vpinero@distrilabve.com,,,,,,FARMATODO,,,,,,,,,,,,,
CARIRUBANA -FARMATODO - AV 6 URB ZARABON COMUNIDAD CARDON,CARIRUBANA -FARMATODO - AV 6 URB ZARABON COMUNIDAD CARDON,vpinero@distrilabve.com,,,,,,FARMATODO,,,,,,,,,,,,,
Mesas de Negociaciones Nena,Mesas de Negociaciones Nena,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,,
Clinica Virgen de Guadalupe,Clinica Virgen de Guadalupe,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,4101,
Mesas de Negociacion COBECA,Mesas de Negociacion COBECA,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,,
"Farmacia Farma 99 Plus, C.A. SUCURSAL 4 (CORO-CASA FARES))","Farmacia Farma 99 Plus, C.A. SUCURSAL 4 (CORO-CASA FARES))",vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,4101,
Multifarmacia Multicolina Santiago,Multifarmacia Multicolina Santiago,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,,
MegaFarma 24,MegaFarma 24,vpinero@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,,,
Farmacia Mariangel,Farmacia Mariangel,vpinero@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,,,
d6cefef6,Farmacia generi,Avanegass@distrilabve.com,,VOLUMEN,,,Tariba,FUERA DE RUTA ,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,5017,
b6701e3c,Freddy Alberto pico suarez,Avanegass@distrilabve.com,,VOLUMEN,,,Caneyes,FUERA DE RUTA ,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,5017,
be7b4a95,Farmasuarez express,Avanegass@distrilabve.com,,VOLUMEN,,,La tendida,EN RUTA,,,,Tachira,,,Luisana,,,,DATOS DEL CLIENTE INCOMPLETO,5070,
72a985c6,"Farmacia nueva amada, c.a.",myanez@distrilabve.com,,,,Urachiche,Sabana de parra,FUERA DE RUTA ,"10.157670, -69.008752",,,Yaracuy,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3211,
0c8981bf,Farmacia del llano,aromagnoli@distrilabve.com,,,,Ospino,Ospino,EN RUTA,,,,Portuguesa,,,,,,,DATOS DEL CLIENTE INCOMPLETO,Ospino,
c3ba5fab,Plaza bruzual economia chivacoa,myanez@distrilabve.com,,,,Chivacoa,Chivacoa,EN RUTA,"10.161839, -68.896180",,,Yaracuy,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3202,
37ff9e34,FARMACIA LA MEDALLA MILAGROSA C.A,jvalera@distrilabve.com,,,,PAMPAN,PAMPAN,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3101,
ECONOMICA PLUS,ECONOMICA PLUS,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
Nuevo Siglo Turmero,Nuevo Siglo Turmero,rfarfan@distrilabve.com,,,,,Turmero,EN RUTA,,,,Aragua,,,,,,,DATOS DEL CLIENTE INCOMPLETO,2115,
N2 plaza del estudiante,N2 plaza del estudiante,rbecerra@distrilabve.com,,,,,Barinas,FUERA DE RUTA,,,,Barinas,,,,,,,DATOS DEL CLIENTE INCOMPLETO,148,
N2 el ujano,N2 el ujano,rbecerra@distrilabve.com,,,,,Barquisimeto,FUERA DE RUTA,,,,Lara,,,,,,,DATOS DEL CLIENTE INCOMPLETO,148,
N2 nuevo barrio,N2 nuevo barrio,rbecerra@distrilabve.com,,,,,Caracas,FUERA DE RUTA,,,,Distrito capital,,,,,,,DATOS DEL CLIENTE INCOMPLETO,148,
Hospitalito guaicaipuro,Hospitalito guaicaipuro,rbecerra@distrilabve.com,,,,,Los Teques,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1201,
N2 centro,N2 centro,rbecerra@distrilabve.com,,,,,Barquisimeto,FUERA DE RUTA,,,,Lara,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1081,
N2 estafania,N2 estafania,rbecerra@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,141,
e9bf6331,N2 ujano,rbecerra@distrilabve.com,,,,Este,Este,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1061,
877c831f,N2 estefania,rbecerra@distrilabve.com,,,,Este,Guatire,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1061,
FCIA COSTA ORIENTAL,FCIA COSTA ORIENTAL,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
b4b27fe3,Fsi la moran,aromagnoli@distrilabve.com,,,,Av.vzla con 8,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,314,
10ce68eb,EXPO,hserrano@distrilabve.com,,VOLUMEN,,,BOLIVAR,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,8001,
5e6f0e1f,Farmacia Monserralt V.V,rfarfan@distrilabve.com,,VOLUMEN,,Av bolívar palo negro,Palo negro,EN RUTA,"10.170889, -67.541682",0414 4553949,,Aragua,,8,Emely D Abreu,,,,DATOS DEL CLIENTE INCOMPLETO,2112,
a04ff3d1,Farmaclarines,vjimenez@distrilabve.com,,,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,6008,
4fbcb31d,MESA INSUAMINCA,vjimenez@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,6001,
FCIA FARMACOS,FCIA FARMACOS,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
4a7b899c,Farmabien 8b,rbecerra@distrilabve.com,,,,Chacao,Chacao,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0137,
4f17bcb5,Guille mar,rbecerra@distrilabve.com,,,,San antonio,San antonio,FUERA DE RUTA ,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1204,
9226a0ad,Farmacia león 01,rbecerra@distrilabve.com,,,,Petare,Petare,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1070,
e5f85a13,Farmacia león 05,rbecerra@distrilabve.com,,,,Mariche,Mariche,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1070,
c8479af3,San antonio,rbecerra@distrilabve.com,,,,San Antonio,San Antonio,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1204,
7dc403ce,Rio,rbecerra@distrilabve.com,,,,Naranjos,Hatillo,FUERA DE RUTA ,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1081,
2126f9aa,D'todo farmamarket,rbecerra@distrilabve.com,,,,Castellana,Chacao,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0137,
ce1c387d,Farmamigo todo spress,rbecerra@distrilabve.com,,,,Carrizal,Carrizal,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1203,
7e940bd4,Cruz de mayo,rbecerra@distrilabve.com,,,,Guatire,Guatire,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1221,
3cca0d44,Sagrado corazón,rbecerra@distrilabve.com,,,,Horizonte,Horizonte,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0156,
d917c8b8,Farmacia Atenas san cristobal,Avanegass@distrilabve.com,,VOLUMEN,,,San cristobal,EN RUTA,"8.146189, -72.073593",,,Tachira,,,Jose avendano,,,,DATOS DEL CLIENTE INCOMPLETO,5027,
50861f2c,Farmacia JGH Centro,vjimenez@distrilabve.com,,,,,,EN RUTA,"10.128392, -64.685955",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,6001,
FARMA HOGAR SALUD,FARMA HOGAR SALUD,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
a93f3c2a,Super farmacia,rbecerra@distrilabve.com,,,,Carrizal,Los teques,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1203,
FCIA BICENTENARIO,FCIA BICENTENARIO,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
5a43802c,Farmacia ganperz sta filomena,Avanegass@distrilabve.com,,VOLUMEN,,,Seboruco,EN RUTA,"8.139704, -72.085508",,,Tachira,,,Yexenia,,,,DATOS DEL CLIENTE INCOMPLETO,5027,
9221476f,La Pastoreña,ohurtado@distrilabve.com,,VOLUMEN,,Barinitas,Centro,EN RUTA,"8.760135, -70.414027",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,5201,
0721706c,Maria auxiliadora carrillo,Avanegass@distrilabve.com,,VOLUMEN,,,Guasdualito,FUERA DE RUTA ,,,,,,,Maria auxiliadora,,,,DATOS DEL CLIENTE INCOMPLETO,0,
c190730e,FARMACIA CAANAN MONAY C.A,jvalera@distrilabve.com,,,,Monay,MONAY,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3101,
2acd34a2,PRUEBA,inteligenciadeventas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA ,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1,
OJEDA PLUS,OJEDA PLUS,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
e944ed10,Automercado plaza,rbecerra@distrilabve.com,,,,Lagunita,Lagunita,FUERA DE RUTA ,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1081,
ccab65c4,Colmifarmacia,rbecerra@distrilabve.com,,,,Baruta,Baruta,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1081,
2aec7bfc,Farmacia 360 la fria,Avanegass@distrilabve.com,,VOLUMEN,,,La fria,EN RUTA,"8.212075, -72.247900",,,Tachira,,,Maria,,,,DATOS DEL CLIENTE INCOMPLETO,5029,
FAMILIA LA LAGO,FAMILIA LA LAGO,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
FAMILIA LA PICOLA,FAMILIA LA PICOLA,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
FAMILIA DR UINTERO,FAMILIA DR UINTERO,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
AL KOSTO CACTUS,AL KOSTO CACTUS,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
AL KOSTO CALLEJON,AL KOSTO CALLEJON,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
e3e83adc,Farma 99 plus VIRTUDES (CASA FARES-super 900),vpinero@distrilabve.com,,VOLUMEN,,,Punto Fijo,EN RUTA,"11.656648, -70.205098",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
MEGA COMPRAS,MEGA COMPRAS,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
f5c05e00,Su farmacia Nelson gabriel,rbecerra@distrilabve.com,,,,Lagunita,Lagunita,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1081,
9903ab78,Su farmacia Salomón david,rbecerra@distrilabve.com,,,,0153,Caracas,EN RUTA,,,,Distrito capital,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0153,
9a7f259f,Su farmacia farmarey,rbecerra@distrilabve.com,,,,Chacao,Chacao,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0137,
eab57e12,MESA NEGOCIOS INSUAMINCA MAYO 2025,lchirino@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA ,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,601,
dd35d043,FCIA FARMAPAZ TIPUROS,lchirino@distrilabve.com,,VOLUMEN,,Sector TIPUROS. Maturin,Sector Tipuros,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,604,
DON AHORRO,DON AHORRO,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
SAMAN DE PERIJA,SAMAN DE PERIJA,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
FCIA LA VENEZOLANA,FCIA LA VENEZOLANA,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
MATERNIDAD,MATERNIDAD,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
b38a33ae,Farmacia el trolly,rbecerra@distrilabve.com,,,,Las mercedes,Las mercedes,FUERA DE RUTA ,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1080,
MULTITIENDA INTERSALUD - MARA PLUS CABIMAS,MULTITIENDA INTERSALUD - MARA PLUS CABIMAS,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
31e522a4,FARMACIA INSUMEDIC C.A,jvalera@distrilabve.com,,,,,VALERA,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3102,
3a5d2467,FARMACIA FARMA JIRETH PLUS C.A,jvalera@distrilabve.com,,,,,KM 43,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3110,
9903e95a,FARMA SOL VALERA SUCURSAL 4,jvalera@distrilabve.com,,,,,VALERA,EN RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3102,
FCIA SUPER SALUD - MARA PLUS CABIMAS,FCIA SUPER SALUD - MARA PLUS CABIMAS,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
FCIA ESTRELLA - MARA PLUS CABIMAS,FCIA ESTRELLA - MARA PLUS CABIMAS,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
95177a43,Farma nena 2021,rbecerra@distrilabve.com,,,,Los teques,Los teques,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1203,
19776b79,Camino real,rbecerra@distrilabve.com,,,,Los Teques,Carrizal,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1203,
c41af57c,Su farmacia Martin Elías,rbecerra@distrilabve.com,,,,Cafetal,Cafetal,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1061,
dac4bb24,Mundo total,rbecerra@distrilabve.com,,,,La trinidad,La trinidad,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1081,
c54723d6,Saas la casona,rbecerra@distrilabve.com,,,,Los teques,Los teques,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1201,
3b0b6266,Saas adriatica,rbecerra@distrilabve.com,,,,Chacao,Chacao,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0137,
83d45fd0,Botiqueria nueva merali,rbecerra@distrilabve.com,,,,La carlota,La carlota,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0148,
046887f5,Saas baruta,rbecerra@distrilabve.com,,,,Baruta,Baruta,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1081,
61330412,Farmacia la alcabala,rbecerra@distrilabve.com,,,,Los teques,Los teques,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1201,
26d2ed6e,Farmacia nueva Venecia,Avanegass@distrilabve.com,,VOLUMEN,,,La grita,FUERA DE RUTA ,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
ec487363,Farmarosalito,rbecerra@distrilabve.com,,,,Los teques,Los teques,FUERA DE RUTA ,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,1201,
e693edb0,Los canales,rbecerra@distrilabve.com,,,,Rio chico,Rio chico,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
7fdb8a01,Farmanutry boavida,rbecerra@distrilabve.com,,,,Bellas artes,Bellas artes,EN RUTA,,,,Distrito capital,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
d3c5ef37,Farmagood,rbecerra@distrilabve.com,,,,Concresa,Concresa,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
05268bcf,EXPO NENA CCS MAYO 2025,lchirino@distrilabve.com,,VOLUMEN,0%,,,FUERA DE RUTA ,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,601,
4392c588,Megafarma Hospital,vpinero@distrilabve.com,,VOLUMEN,,,Coro,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
b9685db2,EXPENDIDO VALLE DEL MOMBOY C.A,jvalera@distrilabve.com,,,,,TRUJILLO,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3101,
87e96e4d,Farma Milan Santa Rita,rfarfan@distrilabve.com,,VOLUMEN,,Avenida Venezuela cruce con Coropo,Maracay,EN RUTA,"10.209750, -67.556103",,,Aragua,,8,Fatima,,,,DATOS DEL CLIENTE INCOMPLETO,242,
c895b0a8,Los expertos en medicamentos,rfarfan@distrilabve.com,,VOLUMEN,,Avenida venezuela,Santa rita,FUERA DE RUTA ,"10.210136, -67.555732",,,,,12,,,,,DATOS DEL CLIENTE INCOMPLETO,243,
